client_id,total_value,estimated_net_worth,estimated_income,Cash,Commodities,Equities,Fixed Income,Real Estate
1,183766.99,262524.27,75006.93,38.73871471693583,1.108806320438725,22.72240515013061,24.72071289843731,12.709360914057527
2,350804.0,501148.57,143185.31,25.86549469219279,22.892680813217638,0.09708840264079086,29.629599434442028,21.51513665750676
3,364400.0,520571.43,148734.69,6.924272777167947,22.012576838638857,30.254193194291982,12.21535400658617,28.593603183315036
4,74538.0,106482.86,30423.67,32.17544071480319,41.46411226488503,2.0819045319166065,11.809144329067053,12.469398159328128
5,148806.0,212580.0,60737.14,15.90806150289639,23.503454161794554,10.245171565662675,6.00385065118342,44.33946211846296
6,493852.0,705502.86,201572.25,0.7403149121599183,16.038612782777026,42.378178077642694,19.575198642508283,21.26769558491208
7,261428.0,373468.57,106705.31,23.094339550468963,16.089458665483424,4.375472405404165,43.91291292439983,12.527816454243615
8,387593.99,553705.7,158201.63,3.1245814724836163,10.134073544329208,11.184660009821101,20.606397947501716,54.95028702586436
9,407403.0,582004.29,166286.94,2.3460651983416914,7.37499723860649,24.9736796243523,44.700944764766085,20.604313173933424
10,465192.0,664560.0,189874.29,3.768213984763281,11.346493490859688,7.132607611480851,15.590659340659341,62.16202557223684
11,105016.0,150022.86,42863.67,56.43881884665194,18.45235964043574,12.677830044945532,3.86207815951855,8.568913308448236
12,63545.0,90778.57,25936.73,37.43641513887796,21.058950350145565,11.54230860020458,5.712329844991738,24.249996065780156
13,497599.99,710857.13,203102.04,21.637801881788622,13.036159827897103,7.341151674862373,51.02735633093561,6.957530284516284
14,117171.99,167388.56,47825.3,40.43282016461443,38.679952435731444,2.177653550136001,9.507186828524462,9.20238702099367
15,402227.99,574611.41,164174.69,2.559749757842561,33.83158143718442,16.23723401248133,1.8203382613925,45.5510965310992
16,207381.01,296258.59,84645.31,15.14145388721947,19.302789585218047,10.791754751314981,25.653718245465196,29.1102835307823
17,418452.0,597788.57,170796.73,29.606117308556296,6.166284305009893,6.298359190540373,25.342880425950888,32.58635876994255
18,485323.01,693318.59,198091.03,38.6219375833839,2.0263205735907723,21.424059411483498,21.495453100400084,16.432229331141748
19,436393.0,623418.57,178119.59,5.531323829667296,8.770770841878765,15.779499212865469,26.46171913848297,43.456686977105505
20,121295.0,173278.57,49508.16,34.777097159816975,5.674817593470465,21.254338595984994,7.606455336163897,30.68729131456367
